sha,date,new_text_keys,applies_clean,blocked_on,zones,subject
bf4953b6ee,2026-07-23,3,no,scripts/zones/Gusgen_Mines/npcs/qm1.lua;scripts/zones/Maze_of_Shakhrami/npcs/qm1.lua;scripts/zones/Ordelles_Caves/npcs/qm1.lua,Gusgen_Mines;Maze_of_Shakhrami;Ordelles_Caves,Clean Up / Fix RSE Sachet NM Code
bca3fa628e,2026-08-08,3,no,scripts/zones/Gusgen_Mines/npcs/Degga.lua;scripts/zones/Maze_of_Shakhrami/npcs/Ahko_Mhalijikhari.lua;scripts/zones/Ordelles_Caves/npcs/Rojaireaut.lua,Gusgen_Mines;Maze_of_Shakhrami;Ordelles_Caves;Port_Bastok,Eco-Warrior IF
ecb93a54e0,2026-07-29,4,no,scripts/actions/mobskills/earth_blade.lua;scripts/actions/mobskills/fire_blade.lua;scripts/actions/mobskills/frost_blade.lua,Quicksand_Caves;Stellar_Fulcrum,ZM8-13 Audits
52e5ad69f7,2026-05-24,5,no,sql/npc_list.sql,Mount_Zhayolm,[npc][lua] Halvung Gates Key Item check
eebb71208a,2026-06-08,5,no,scripts/quests/crystalWar/Steamed_Rams.lua;scripts/quests/crystalWar/WOTG_BAS_0_The_Fighting_Fourth.lua,Bastok_Markets_[S];West_Sarutabaruta_[S];Windurst_Waters_[S],[lua] Convert Snake on the Plains to IF
2c729a3bde,2026-07-12,5,no,scripts/globals/quests.lua;scripts/zones/Konschtat_Highlands/DefaultActions.lua,Konschtat_Highlands,"[lua] Fix quest getMustZone, Bastok Mom quests, Konschtat signposts"
d84de43aa8,2026-08-01,5,no,scripts/zones/Misareaux_Coast/mobs/Gration.lua,FeiYin;Misareaux_Coast,Fix Gration Ready time / Add Dried Up Fountain QM msg.
6b9735b280,2026-02-17,6,no,scripts/globals/abyssea.lua,Abyssea-Empyreal_Paradox,[lua]  Abyssea - Main story quests Part 4
ab2cec16fb,2026-04-28,10,no,scripts/enum/mob_skill.lua;scripts/zones/Carpenters_Landing/mobs/Bullheaded_Grosvez.lua;sql/mob_groups.sql,Carpenters_Landing;Navukgo_Execution_Chamber,Puppetmaster LB Fight
d293d4e0d2,2026-02-25,11,no,scripts/globals/quests.lua,Jade_Sepulcher,BLU LB (The Beast Within)
f8b22d23b6,2026-05-24,11,no,sql/mob_pools.sql,Aydeewa_Subterrane,Aydeewa NM Audits
a39b72a899,2026-06-26,12,no,scripts/zones/Cirdas_Caverns/DefaultActions.lua;scripts/zones/Morimar_Basalt_Fields/DefaultActions.lua,Cirdas_Caverns;Dho_Gates;Foret_de_Hennetiel;Marjami_Ravine,[lua] Add SoA survival skill obstacle traversing
28440aee7e,2026-07-23,12,no,scripts/zones/QuBia_Arena/mobs/Yukvok_of_Clan_Death.lua;scripts/zones/Xarcabard/DefaultActions.lua;sql/mob_groups.sql,Batallia_Downs;Horlais_Peak;Northern_San_dOria;QuBia_Arena,Sandy 9-1 and 9-2 audits
484030505b,2026-05-11,15,no,scripts/enum/item.lua;src/map/packets/s2c/CMakeLists.txt,Bastok_Mines;Northern_San_dOria;Windurst_Walls,Linkshell Concierge support
25eb02485b,2026-03-28,18,no,scripts/enum/mob_skill.lua;scripts/zones/Jade_Sepulcher/mobs/Raubahn.lua;sql/mob_skills.sql,Jade_Sepulcher;Talacca_Cove,The Bonds of Fate (Qultada)
fd909cba89,2026-04-08,19,no,scripts/zones/Apollyon/Zone.lua;scripts/zones/Temenos/Zone.lua,Apollyon;Temenos,[documentation] Moves all of the old limbus to documentation folder
09144b9a34,2026-07-27,21,no,src/common/ipc_structs.h;src/login/login_helpers.cpp;src/login/login_helpers.h,Residential_Area;Residential_Area_199;Residential_Area_214;Residential_Area_219,Port Zone to YAML based enum
4ddb4cbe2d,2026-07-27,22,no,sql/mob_groups.sql;sql/mob_pools.sql;sql/mob_spawn_points.sql,Behemoths_Dominion;Cape_Teriggan;Cloister_of_Frost;La_Theine_Plateau,ZM5 Audits
f47090c1de,2026-07-17,30,no,scripts/zones/Phanauet_Channel/Zone.lua;scripts/zones/Phanauet_Channel/mobs/Stubborn_Dredvodd.lua;scripts/zones/Phanauet_Channel/mobs/Vodyanoi.lua,Carpenters_Landing;Phanauet_Channel,Barge fixes and NM Adjustments
9d695fb764,2026-07-05,31,no,scripts/globals/expeditionary_force.lua,Beadeaux;Castle_Oztroja;Castle_Zvahl_Baileys;Castle_Zvahl_Keep,[lua] Enable Expeditionary Force with Treasure
93b014fa90,2026-07-05,61,no,scripts/globals/expeditionary_force.lua,Beaucedine_Glacier;Buburimu_Peninsula;Cape_Teriggan;Eastern_Altepa_Desert,[lua] Expeditionary Force Battle Logic
