sha,date,tier,area,files,status,note,subject
565ea41a3d,2026-02-08,D,lua,1,,,[lua] Uncomment 180s idle despawn time in Absolute Virtue
634005f9bf,2026-02-08,D,lua,2,,,Move Oggbi's DA back to the DA lua
704cbf8951,2026-02-08,A,cpp,26,conflict,does not apply cleanly onto 9e6f10c2fb,[core] ASan/UBSan fixes [UAF/overflows/NaN/bad casts] (#9388)
733d52a302,2026-02-08,D,sql,2,,,[sql] Consolidate Automaton Mob Family
7360d4b931,2026-02-08,B,cpp,35,conflict,does not apply cleanly onto 9e6f10c2fb,"[core] Misc static analysis fixes [nil checks, truncation, casts] (#9407)"
765c824a1c,2026-02-08,D,lua+sql,4,,,[lua][sql] Consolidate Hippogryph Families
8376d49b07,2026-02-08,D,lua,1,,,[lua] Init Sacrarium labyrinth doors on startup
8c73659809,2026-02-08,D,sql,1,,,Turns off a QM in Carpenters Landing
b138ad5f2e,2026-02-08,D,lua,1,,,"[lua] If a mob has zero skill from skill rank, set it to A+"
b38874182d,2026-02-08,D,lua,1,,,[lua] Remove resist rank check for mobs in calculateResistanceFactor
b55bee1685,2026-02-08,C,lua,1,candidate,"applies cleanly, not yet built or reviewed",passing correct amount of ice arrows
b889931b5a,2026-02-08,D,lua,17,,,[lua] Implement Samurai job util
d4f73598a5,2026-02-08,D,cpp+lua+mod,11,,,"[lua, sql, cpp][module] Samurai Era Audit"
d676d817f6,2026-02-08,D,sql,1,,,[sql] Update quantity of items sold by Fishing guild
ddb0443ba7,2026-02-08,D,lua+sql,3,,,BRD AF3 mob audit
022e9a635f,2026-02-09,D,lua,1,,,Make `Flask of Panacea` remove slow instead of paralysis
2103afd715,2026-02-09,D,lua,2,,,Clamming rewrite: Toh Zonikki logic conversion
2c7635a1ae,2026-02-09,D,lua+sql,5,,,Oldton Movalpolos NM Audits
348dbd1ecb,2026-02-09,D,lua,1,,,Minor treasure cleanup
445fd325c0,2026-02-09,D,lua+sql,5,,,Black Coney Audit
4eace37717,2026-02-09,D,lua,2,,,Clamming rewrite: Complete loot lists and add logic for variable rates
56d0e093f5,2026-02-09,C,lua,1,candidate,"applies cleanly, not yet built or reviewed",MNK AF2 Bug Fix no KI check
7715effc23,2026-02-09,D,lua+sql,13,,,Clamming rewrite: Clamming point NPC logic and separation
952c7f953b,2026-02-09,D,lua,1,,,KS99 Draw-In
d1816cf0c0,2026-02-09,D,lua,42,skip-large,"42 files, structural","[lua] Abyssea - Dawn of Death, Maws Clean up"
d221090151,2026-02-09,D,lua+sql,395,skip-large,"395 files, structural",[lua] Magical Mobskill Rework Refactor
d555335184,2026-02-09,D,lua,1,,,[chests] Battle Gloves and Electrum Ring rates
e9ecd85107,2026-02-09,D,lua+sql,6,,,BRD AF1 and AF2 Audit
05cc75a78a,2026-02-10,D,lua,1,,,Digging: Relax position distance check and make it more precise
4b8069e264,2026-02-10,D,lua+sql,3,,,PLD AF1 Audit
887c6aa2bc,2026-02-10,D,lua,2,,,Roc/Simurgh draw in adjustment
a7d817f202,2026-02-10,D,cpp+lua,12,,,Cleanup `WEAPONSKILL_TAKE` listener usage and reorder parameters
b382f9fabb,2026-02-10,D,cpp+sql,4,,,Trust Tokens
0e2e240883,2026-02-11,A,cpp,1,adopted,in verified batch 2026-08-21; build + 264/264 tests pass,[core] Add nullptr checks to direct usages of loc.zone in lua baseentity
1d1c2320cc,2026-02-11,D,cpp+tools,2,,,[login] Enforce xiloader 2.1.x
21d9124cc1,2026-02-11,D,lua+sql,4,,,PLD AF3 Fight Audit
2b72af4d38,2026-02-11,D,sql,1,,,[sql] Ro'meave Spring Water Drop Rate
92dd48463c,2026-02-11,D,lua,1,,,Gusgen Treasure Cheast POS
c142368c38,2026-02-11,D,lua+sql,5,,,PLD AF2 Mob Audit
cce0270875,2026-02-11,D,cpp+lua,6,,,Cleanup `ABILITY` listeners
0656a8cb90,2026-02-12,D,sql,1,,,[client] NPC ID shifts
3500a6d4d3,2026-02-12,C,lua,1,candidate,"applies cleanly, not yet built or reviewed",Quest NM Marquis Andrealphus Bug Fix
4dc5020dad,2026-02-12,D,cpp+lua+sql,25,,,Update Summoner and Pet functionality
855f1d1926,2026-02-12,D,sql,1,,,[sql] Envier size/hitbox
9d4674b9a3,2026-02-12,D,cfg+lua,268,blocked-client,"shifts zone text IDs, our client is pinned","[client] Text ID shifts, Version update"
fc758a3050,2026-02-12,D,sql,1,,,[sql] Update quantity of items sold by Tenshodo guild
fcf1b3d11c,2026-02-12,D,lua+sql,10,,,[lua] [sql] ENM Brothers
1f8c0d05d8,2026-02-13,D,cpp+lua+sql,15,,,"[lua, sql, c++] Ranger job adjustments"
1fcccb52fe,2026-02-13,D,cpp,1,,,Adventuring Fellows names
2d9b845774,2026-02-13,D,lua,10,content-queued,see content_queue.csv; new_text_keys=1; applies_clean=no,[lua] Abyssea - Main story quests Part 2
4b9bd4c540,2026-02-13,D,lua,1,,,[lua] Allow defaultIfNil() to accept tables/boolean.
a3b72d46e6,2026-02-13,D,lua,5,,,Jeuno Quest: Unlisted Qualities
ce1789b28a,2026-02-13,D,lua+sql,3,,,BST AF2 mob audit
e04060b827,2026-02-13,D,cfg+cpp+sql+tools,28,,,Help Desk support
f70b36bdb0,2026-02-13,D,lua+sql,2,,,Sonic Boom Audit
0a2870b165,2026-02-14,C,cpp+lua,12,conflict,does not apply cleanly onto 9e6f10c2fb,Fixed pup and cleaned up a bit
2ee8e1b48e,2026-02-14,D,sql,1,,,Synthesis key item recipes June 2012
45b3f244bc,2026-02-14,D,lua+mod,13,,,"[lua, sql][module] RNG Era Audit"
5ced57ee62,2026-02-14,D,lua+sql,5,,,BST AF3 Mob Audit
5d291a669a,2026-02-14,D,lua+sql,8,,,Newton Movalpolos NM Audits
6ff9e191c9,2026-02-14,D,lua+sql,11,,,[lua] Abyssea - Main story quests Part 3
affb7ade2c,2026-02-14,D,lua+sql,4,content-queued,see content_queue.csv; new_text_keys=3; applies_clean=yes,[npc] WHM AF3 QM Position
b28ac45157,2026-02-14,D,cpp+lua+mod,15,,,"[lua, sql, c++] Ninja Era Audit"
bd6be74d6d,2026-02-14,D,sql,1,,,Add missing comment to mob_droplist.sql
c1b3191ed5,2026-02-14,D,lua,3,,,Track which AF pieces from coffers have been obtained
c43405c70f,2026-02-14,D,lua+sql,7,,,[lua] [sql] Lv60 Avatar Audits (Trial By...)
c5eaada01b,2026-02-14,D,sql,1,,,[sql] Apocalyptic Ray Range
d1db4d7ef2,2026-02-14,D,cpp+lua,4,,,setRespawnTime(0) disables respawn
d3865d613b,2026-02-14,D,cpp+lua,7,,,Set allow respawn for scripted mobs setting timer in initialize
e490bf8f34,2026-02-14,D,cpp,1,,,ACTION entity lookup order change for trusts
1c11060340,2026-02-15,D,sql,2,,,Labyrinth of Onzozo spawn slots
296d535a66,2026-02-15,D,lua+sql,4,,,NIN AF2 Audit
69417d31a0,2026-02-15,D,lua+sql,11,,,[lua] [sql] Fenrir Prime
8ae8829bcf,2026-02-15,D,lua+sql,7,content-queued,see content_queue.csv; new_text_keys=6; applies_clean=yes,Ranger AF3 Audit
af9b4d5697,2026-02-15,D,cpp,2,,,Dont broadcast effect wears off messages
c3e062b6b3,2026-02-15,B,cpp+lua,6,adopted,in verified batch 2026-08-21; build + 264/264 tests pass,[core] [lua] Send HELM emote to other players
c842f798a0,2026-02-15,D,sql,2,,,Qufim Island spawn slots
d67285afd4,2026-02-15,C,lua,1,conflict,does not apply cleanly onto 9e6f10c2fb,Fix Ro'Maeve Moongates
f5c04a600a,2026-02-15,D,lua+sql,4,,,NIN AF1 Audit
206c245d8b,2026-02-16,B,cpp,3,adopted,in verified batch 2026-08-21; build + 264/264 tests pass,"[core] Remove ""big"" mobmod"
2c2ca20d03,2026-02-16,D,sql,1,,,[sql] Update pseudo guilds and clean-up
34a5fe2f8e,2026-02-16,B,cpp,1,conflict,does not apply cleanly onto 9e6f10c2fb,[core] Boost roam randomness to uint32
6242807e0b,2026-02-16,D,cpp+lua,8,,,Review Amendments
8f9dc1b4dc,2026-02-16,D,lua,1,,,[lua] Comment out print in utils.defaultIfNil()
ad9cd30295,2026-02-16,D,lua+sql,7,,,[lua][sql] Bat Mob Skill Lists COP+
cb218d88e7,2026-02-16,D,lua+sql,3,,,Blue Mage AF2 Fight Audit
d0baeec999,2026-02-16,D,lua+sql,5,content-queued,see content_queue.csv; new_text_keys=1; applies_clean=yes,NIN AF3 Audit
04e36b517b,2026-02-17,C,lua,1,candidate,"applies cleanly, not yet built or reviewed",Fix Apkallu mixin run away behavior
6b9735b280,2026-02-17,D,lua,17,content-queued,see content_queue.csv; new_text_keys=6; applies_clean=no,[lua]  Abyssea - Main story quests Part 4
af29063bce,2026-02-17,D,cpp,2,,,blocked player charmed mobs and mobs claiming with magic
c2bedcec9a,2026-02-17,D,lua,1,,,Bune Draw in
c343e8f934,2026-02-17,D,lua+sql,3,,,SMN AF3 Ogmios
012d381bec,2026-02-18,D,cpp+sql,4,,,Zoneline origination points; spawn slotting
765be7cd43,2026-02-18,C,lua,1,candidate,"applies cleanly, not yet built or reviewed",Fix Dawn Phase 2
8023d32878,2026-02-18,D,lua+sql,4,,,Mis Coast NM Audits
bfa76eb1ea,2026-02-18,D,cpp+lua+sql,4,,,Brigand chart: Make chests fishable
eab1ea383e,2026-02-18,D,lua+sql,5,content-queued,see content_queue.csv; new_text_keys=3; applies_clean=yes,RDM AF3 part 2 Audit
169832b332,2026-02-19,D,cpp+lua,3,,,addStatusEffect binding
374882bde2,2026-02-19,D,lua,2,,,ISNM3k Shadows of the Mind
77ba9d957a,2026-02-19,D,cpp,10,,,Engine: General updates to xirand
b51a58c147,2026-02-19,D,cpp+lua,1523,skip-large,"1523 files, structural",Migrate addStatusEffect
0f5516a0e3,2026-02-20,D,lua,1,,,Migrate remaining addStatusEffectEx call
951b1861cc,2026-02-20,D,cpp,1,,,Update modifier.h to include enspell_dmg_pct
a291c39bf2,2026-02-20,D,cpp,1,,,Removing space on ln814
a5ba09b31b,2026-02-20,D,cpp,1,,,trust remove battlefield effect battlefield.cpp
b409ca3548,2026-02-20,D,sql,1,,,Update augments.sql to enable enspell_dmg_pct
bed3acfa48,2026-02-20,D,cpp+lua+mod+sql,17,,,"[lua, sql, c++][module] DRG Era Audit"
d0165058db,2026-02-20,D,lua,1,,,Update mod.lua to include enspell_dmg_pct
ecbf509615,2026-02-20,D,cpp,1,,,Update battleutils.cpp for enspell_dmg_pct
8cc514f6f0,2026-02-21,D,lua,1,,,Wait a little longer before asserting KA respawn
d991c3d6d7,2026-02-21,D,lua+sql,4,,,[lua] [sql] King Vinegarroon
45007b6057,2026-02-22,D,cpp+sql,3,,,Allow setting custom wear off message per status effect
962a811110,2026-02-22,C,cpp+lua+mod+sql,8,conflict,does not apply cleanly onto 9e6f10c2fb,"[lua,sql,c++] Correct AOE ability buff messaging"
e09af446a2,2026-02-22,D,mod,5,,,[lua][module] Update modules to new status effect method
e450ef88d5,2026-02-22,D,lua,1,,,[lua] Hell Freezes Over Armoury Crate
e7d8e23c12,2026-02-22,D,sql,1,,,Status effect ON_ZONE flags
f65bda686c,2026-02-22,D,cpp+lua+sql,7,,,"Item mod corrections: SC DMG, Crit Evasion"
04dc6c25ba,2026-02-23,D,lua,1,,,convert chronoshift to use copyStatusEffect
83ce4f0380,2026-02-23,D,cpp,36,,,Retail accurate inventory container tracking (#9409)
3fa2d83c30,2026-02-24,C,sql,1,candidate,"applies cleanly, not yet built or reviewed",[sql] Correct weather/sky in Walk of Echoes
47cbe24ffe,2026-02-24,D,lua,4,content-queued,see content_queue.csv; new_text_keys=2; applies_clean=yes,[lua] Bastok [S] + Grauberg [S] locked doors
5a89192711,2026-02-24,C,lua,2,candidate,"applies cleanly, not yet built or reviewed",Fix Einherjar abjuration drops
b81a7f6e3e,2026-02-24,D,cpp+lua+sql,5,,,fishing snares for pirate chart
02a2ae762d,2026-02-25,C,sql,1,candidate,"applies cleanly, not yet built or reviewed",[sql] WoTG 49 - Cait in the Woods CS NPC fix
05fad3f936,2026-02-25,D,lua,8,content-queued,see content_queue.csv; new_text_keys=4; applies_clean=yes,[lua] WoTG 41 - Her Memories - Lua Cleanup
117b932c9f,2026-02-25,A,cpp,1,adopted,in verified batch 2026-08-21; build + 264/264 tests pass,Null check before attempting to interrupt item
46a597d04c,2026-02-25,D,cpp+lua,5,,,"[lua, c++]  WoTG 37/46 - Spitewarden Mimicry"
5e343e7970,2026-02-25,D,lua+sql,13,,,Merge pull request #9529 from sruon/respawn_times_5
94434779ee,2026-02-25,D,cpp,4,,,Core: Make ConnectEngine::periodicCleanup() a coroutine
a8ea1bcd0e,2026-02-25,D,lua,1,,,[lua] WoTG 42 - Forget me Not - Lua Cleanup
d293d4e0d2,2026-02-25,D,lua+sql,13,content-queued,see content_queue.csv; new_text_keys=11; applies_clean=no,BLU LB (The Beast Within)
d4276f75a1,2026-02-25,D,cpp,11,,,Core: Add ASIO-based Scheduler
e34ed9f435,2026-02-25,D,cpp+lua,4,,,Add lua binding for non-player entities for starting an spell cast
ea97d06834,2026-02-25,D,cpp+lua,9,,,Add `target` parameter to new function and old listener
240459a2d5,2026-02-26,D,lua,1,,,Changes jug test to target a non-slotted mob
2bc710507d,2026-02-26,D,cpp,4,,,Ext: Bump to Tracy 0.13.1
3c2e2912c6,2026-02-26,D,cpp,4,,,Core: Propagate new Scheduler out to xi_world
490a5d31f2,2026-02-26,D,lua,1,,,Reorder xi.msg.basic
6d6fb7935c,2026-02-26,D,cpp+lua,16,,,BATTLE2 enforce MsgBasic usage
74868b81fb,2026-02-26,D,other,1,,,Ext: Bump ASIO version to 1.36.0
90a067cd93,2026-02-26,D,cpp,3,,,Login: Handle sessions on worker thread
a27be118bc,2026-02-26,D,cpp,9,,,Core: Propagate new Scheduler out to xi_search
a453b7a3c7,2026-02-26,C,lua,2,candidate,"applies cleanly, not yet built or reviewed",[lua] Fix addallmounts Add addallwarps [Commands] (#9509)
afda2d4359,2026-02-26,D,lua,19,,,Add en-spell check to additional effect functions. Clean mob AE sections
ca6f0ea645,2026-02-26,C,lua,1,candidate,"applies cleanly, not yet built or reviewed",Fix ToAU mission 7 getting stuck on CS option
e1bde4e09e,2026-02-26,D,cpp,11,,,Core: Propagate new Scheduler out to xi_map and xi_test
e3bc0cc44f,2026-02-26,D,cpp,4,,,Core: Make ConsoleService use new Scheduler
f44129419d,2026-02-26,D,cpp,2,,,Core: Enforce Scheduler fire-and-forget
fc9f330650,2026-02-26,D,lua+sql,15,,,[lua] Ultima Skill Audit
a75c207ae9,2026-02-27,D,lua+sql,4,,,[mob]Cor AF1 NM Lost Soul
05f4e2bec5,2026-02-28,D,cpp,1,,,Don't get leader of null party
35ab2d31f4,2026-02-28,D,sql,1,,,[sql] Add Living Rod's Hidden Effect
683f6dff56,2026-02-28,C,lua,1,candidate,"applies cleanly, not yet built or reviewed",Bug Fix SMN AF 1 Quest - Flow
6a1c3c6a43,2026-02-28,D,sql,2,,,Implement Beaucedine Glacier spawn slots
846502ea5a,2026-02-28,D,cpp,43,skip-large,"43 files, structural",MsgBasic converted to PascalCase
8cb5738408,2026-02-28,D,sql,2,,,Implement North Gusta spawn slots
e87d7d742d,2026-02-28,D,cpp,1,,,Cancel synth if result is rare and already owned
76e89d8123,2026-03-02,D,lua,1,,,Old Sabertooth: Rework poison and file cleanup
8dfc82cca4,2026-03-02,D,lua+sql,3,,,Message on subjob restriction. No message on loss.
8e8398c862,2026-03-02,D,lua+sql,7,content-queued,see content_queue.csv; new_text_keys=2; applies_clean=yes,Corsair LB (Breaking the Bonds of Fate)
b42bdd8061,2026-03-02,C,mod,1,candidate,"applies cleanly, not yet built or reviewed",Modules: Fix announce_player_login.lua
d8fe673756,2026-03-02,C,cpp+tools,2,candidate,"applies cleanly, not yet built or reviewed",Tools: Fix announce.py encoding
36faa2e85e,2026-03-03,D,cpp,5,,,"Scheduler: Rename ioContext to mainContext, add All (vector)"
3a6624ffb4,2026-03-03,D,cpp,1,,,Add checks for master in isMobOwner
5c20f3d437,2026-03-03,D,sql,1,,,bst jug abilities added
6e0da5e6f5,2026-03-03,D,cpp,1,,,"Core: Add preparedStmt(Scheduler&, ...)"
70555ea2cc,2026-03-03,D,cpp,2,,,Core: Clean up CAIEventHandler
70c462875d,2026-03-03,D,sql,1,,,Add missing jug pets to mob pools
7c3618bca3,2026-03-03,D,sql,2,,,Implement Lower Delkfutt's Tower spawn slots
8e313be14d,2026-03-03,D,sql,2,,,Audit and addition of mob skills to support jug skills
a0973b040a,2026-03-03,D,sql,2,,,implement Castle Zvahl Baileys spawn slots
c3e5d7893a,2026-03-03,D,sql,2,,,Implement The Boyahda Tree spawn slots
c70813af68,2026-03-03,D,sql,1,,,Audit and addition of all jug pet jug items
ce80dbd2dc,2026-03-03,D,sql,2,,,Audit and update of pet list and pet skills
e0392b7ad6,2026-03-03,D,lua+sql,3,,,Implement Arrapago Reef spawn slots
222b23f4f3,2026-03-04,D,sql,1,,,Remove Earth Pounder KV
be954ee36d,2026-03-04,D,cpp,49,skip-large,"49 files, structural",Core: Remove CTaskManager
c6c7f9aa9c,2026-03-04,D,lua+sql,8,content-queued,see content_queue.csv; new_text_keys=2; applies_clean=no,PUP AF3 Puppetmaster Blues
f01aa29f13,2026-03-04,C,cpp,1,conflict,does not apply cleanly onto 9e6f10c2fb,Fix HQ 2 and 3 distribution
0baf054223,2026-03-05,D,cpp,11,,,Core: Run all MapEngine tasks in Scheduler
6824a24af0,2026-03-05,D,cpp,18,,,Core: Make ZoneServer a coroutine
6c627c6b01,2026-03-05,D,cpp,75,skip-large,"75 files, structural",Core: Use Maybe alias for std::optional
7733be9e90,2026-03-05,D,tools,1,,,Tools: Update cppcheck to C++20
785931177a,2026-03-05,D,cpp+lua,1553,skip-large,"1553 files, structural",Reorder onMobWeaponskill params and make usage consistent all across
81805e041e,2026-03-05,D,lua+sql,5,content-queued,see content_queue.csv; new_text_keys=1; applies_clean=yes,PUP LB (Achieving True Power)
92f024bb1e,2026-03-05,B,cpp,1,adopted,in verified batch 2026-08-21; build + 264/264 tests pass,[core] Fetch automaton head or frame from PChar or Automaton pet
b26fb5b5f4,2026-03-05,D,cpp,40,,,Core: Remove Async helpers
e0eecb794c,2026-03-05,D,cpp,4,,,Core: Simplify charutils::LoadChar
f09456bca0,2026-03-05,D,cpp+lua,42,skip-large,"42 files, structural","Make WEAPONSKILL_USE/TAKE listeners use skill object, not just id"
ffd222113a,2026-03-05,D,lua+sql,15,content-queued,see content_queue.csv; new_text_keys=0; applies_clean=no,"[lua, sql] Implement Pulling the Plug ENM"
0a3958e825,2026-03-06,D,lua+sql,6,content-queued,see content_queue.csv; new_text_keys=2; applies_clean=yes,PUP AF1 fight Caedarva Toad
5743d71666,2026-03-06,D,tools,1,,,[ci] Skip merge commits for length checks
5f3b01dd75,2026-03-06,D,lua,5,,,[lua] Convert quest The Fumbling Friar to IF
e16249e73b,2026-03-06,C,sql,1,candidate,"applies cleanly, not yet built or reviewed",[sql] Update Buarainech to correct model ID
fc60e7dc9d,2026-03-06,D,cpp+lua,18,,,Automaton cleanup
1e5040d39a,2026-03-07,D,lua+sql,11,content-queued,see content_queue.csv; new_text_keys=1; applies_clean=no,"[lua, sql] Tango With A Tracker adjustments"
2b9b9be2e8,2026-03-07,C,lua,1,candidate,"applies cleanly, not yet built or reviewed","Update ""Guard rate"" skillDelta"
357566299b,2026-03-07,D,lua,3,,,Treasures & Tribulations bugfix
5b99aeaf04,2026-03-07,D,cpp,25,,,Core: Make time_server a coro
7021de121a,2026-03-07,B,cpp+lua,21,conflict,does not apply cleanly onto 9e6f10c2fb,"[core] [lua] Add level -1 support, add mods to mobs"
a12a21c858,2026-03-07,D,sql,1,,,"COR AF3 mobs hitboxes, flags"
ea768911e8,2026-03-07,D,lua,1,,,PUP LB Event Puppet model
010f3b28f4,2026-03-08,B,cpp,1,adopted,in verified batch 2026-08-21; build + 264/264 tests pass,[core] Don't tap aggro if mob is dead
2233cd6fc8,2026-03-08,A,cpp,1,conflict,does not apply cleanly onto 9e6f10c2fb,[core] Fix underflow with lvl -1 mob exp gain
3377c380a2,2026-03-08,D,cpp+tools,40,,,Core: Propagate coros into AI::Tick()
4a54ebee18,2026-03-08,D,cpp,5,,,Core: Introduce Scheduler::TaskGroup
6c0ae0fdae,2026-03-08,B,cpp,1,adopted,in verified batch 2026-08-21; build + 264/264 tests pass,[core] Don't try to make dead mobs link
bba7c68fce,2026-03-08,D,lua+sql,15,,,"[lua, sql] Waking Dream battlefield audit"
dd1441de28,2026-03-08,D,lua,4,,,[lua] Convert Waking Dreams to IF
de69317642,2026-03-08,D,cpp+lua+sql,10,,,Add Amchuchu's Gambits and supporting code
03929f83e4,2026-03-09,D,sql,1,,,Update augments.sql dmg & delay
713ff5aeb7,2026-03-09,D,cpp+lua,4,,,Changed lunge check to only be light/dark SC's
afa113481f,2026-03-09,D,sql,2,,,[sql] Remove duplicates from mob groups
e59d8ee23a,2026-03-09,C,sql,1,candidate,"applies cleanly, not yet built or reviewed",[sql] Fixes elementals instantly respawning in some zone
ff95d08590,2026-03-09,C,sql,2,candidate,"applies cleanly, not yet built or reviewed",[sql] Fixes typos in mob groups and spawn point sqls
0e714b66e1,2026-03-10,D,lua,3,,,[lua] Implement Requiem of Sin Quest
3b3f6ac6f0,2026-03-10,C,cpp,1,candidate,"applies cleanly, not yet built or reviewed",[c++]  Fix skillchain resistance formula
49fe639048,2026-03-10,D,cpp+lua+sql+tools,18,,,Alter Ego upgrades packets and currency
